Date, MaxTemperature, MinTemperature, AvgTemperature, AtObsTemperature, Precipitation, HDD, CDD, GDD
2008-06-15, 78, 61, 69.5, 64, 0.19, 0, 5, 20
2008-06-16, 82, 59, 70.5, 61, 0.36, 0, 6, 21
2008-06-17, 78, 55, 66.5, 55, 0.18, 0, 2, 17
2008-06-18, 66, 51, 58.5, 52, 0.16, 6, 0, 9
2008-06-19, 61, 47, 54.0, 48, 0.16, 11, 0, 4
2008-06-20, 67, 48, 57.5, 56, 0.07, 7, 0, 8
2008-06-21, 70, 49, 59.5, 59, 1.06, 5, 0, 10
2008-06-22, 79, 59, 69.0, 62, 0.42, 0, 4, 19
2008-06-23, 80, 57, 68.5, 59, 0.22, 0, 4, 19
2008-06-24, 80, 54, 67.0, M, 0.71, 0, 2, 17
2008-06-25, 72, 49, 60.5, 53, 0.01, 4, 0, 11
2008-06-26, 80, 53, 66.5, 64, 0.40, 0, 2, 17
2008-06-27, 79, 64, 71.5, 67, 0.17, 0, 7, 22
2008-06-28, 81, 62, 71.5, 70, 0.01, 0, 7, 22
2008-06-29, 82, 67, 74.5, 70, 0.02, 0, 10, 25
2008-06-30, 80, 60, 70.0, 63, 0.03, 0, 5, 20
2008-07-01, 78, 60, 69.0, 61, 0.02, 0, 4, 19
